Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
VEG-17266,FW0YCZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.172,Microsoft Windows 7 Professional x64,CPL,,2017-05-28 23:59:59,Expired,,,,,,
VEGAS-21886,2ZK1CZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.173,Microsoft Windows 7 Professional x64,CPL,,2016-12-09 23:59:59,Expired,,,,,,
VEG-21950,54SCFY1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.215,Microsoft Windows 7 Professional x64,CPL,,2017-01-29 23:59:59,Expired,,,,,,
US08323,9RJV052,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.151.218,Microsoft Windows 7 Professional x64,CPL,,2018-11-06 23:59:59,Active,,,,,,
US08237,G90FV42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.151.235,Microsoft Windows 7 Professional x64,CPL,,2018-08-29 23:59:59,Active,,,,,,
US30688,CWQH082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.151.45,Microsoft Windows 7 Professional x64,CPL,,2018-12-22 23:59:59,Active,,,,,,
VEGAS-17795,5BT89Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.60,Microsoft Windows 7 Professional x64,CPL,,2016-11-12 23:59:59,Expired,,,,,,
US30945,B4CL082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.152.11,Microsoft Windows 7 Professional x64,CPL,,2019-01-07 23:59:59,Active,,,,,,
US07802,JMJ3B42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.152.12,Microsoft Windows 7 Professional x64,CPL,,2018-04-08 23:59:59,Active,,,,,,
US01539,8FV9N02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.152.173,Microsoft Windows 7 Professional x64,CPL,,2017-07-23 23:59:59,Expired,,,,,,
US01540,22G3202,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.152.205,Microsoft Windows 7 Professional x64,CPL,,2017-07-08 23:59:59,Expired,,,,,,
US01561,FBS9N02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.152.235,Microsoft Windows 7 Professional x64,CPL,,2017-07-23 23:59:59,Expired,,,,,,
VEGAS-21984,2ZKZBZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.153.107,Microsoft Windows 7 Professional x64,CPL,,2016-12-09 23:59:59,Expired,,,,,,
VEG-US01664,F2VXS12,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.153.111,Microsoft Windows 7 Professional x64,CPL,,2017-09-24 23:59:59,Expired,,,,,,
US01706,G19WL02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.153.12,Microsoft Windows 7 Professional x64,CPL,,2017-08-25 23:59:59,Expired,,,,,,
VEG-US01663,G15MQ02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.153.122,Microsoft Windows 7 Professional x64,CPL,,2017-09-24 23:59:59,Expired,,,,,,
US08363,1HZYY72,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.153.15,Microsoft Windows 7 Professional x64,CPL,,2018-12-04 23:59:59,Active,,,,,,
VEG-US08367,14D4Z72,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.153.173,Microsoft Windows 7 Professional x64,CPL,,2018-12-06 23:59:59,Active,,,,,,
VEGAS-21982,5DCF9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.153.174,Microsoft Windows 7 Professional x64,CPL,,2016-12-19 23:59:59,Expired,,,,,,
beau-us01587,7PV9N02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.153.207,Microsoft Windows 7 Professional x64,CPL,,2017-07-23 23:59:59,Expired,,,,,,
