Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US30859,B4FG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.192.216,Microsoft Windows 7 Professional x64,AEL,,2019-01-07 23:59:59,Active,,,,,,
US01643,4LDKK32,Dell Inc.,Latitude E7440,Unassigned,laptop,10.149.144.187,Microsoft Windows 7 Professional x64,AEL,,2018-01-07 23:59:59,Active,,,,,,
US07580,BMPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.100,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
ETX21870,22WCCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.101,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US30468,7HHGN52,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.102,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30743,B8RK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.103,Microsoft Windows 7 Professional x64,AEL,,2018-12-28 23:59:59,Active,,,,,,
US06013,1XVGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.104,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
US30318,B7MD082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.105,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30154,B4TL082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.106,Microsoft Windows 7 Professional x64,AEL,,2018-12-30 23:59:59,Active,,,,,,
ETX21850,1XWGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.107,Microsoft Windows 7 Professional x64,AEL,,2017-01-17 23:59:59,Expired,,,,,,
US30108,B71L082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.108,Microsoft Windows 7 Professional x64,AEL,,2018-12-30 23:59:59,Active,,,,,,
ETX21852,1Y8DCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.109,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US30275,B7GG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.110,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
ETX17994,2UA3242L74,Hewlett-Packard,HP Compaq Pro 6300 SFF,Unassigned,desktop,10.3.7.111,Microsoft Windows 7 Professional x64,AEL,,,No Warranty,,,,,,
US07582,HHPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.112,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
ETX21841,C4H3CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.113,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
US30302,B7DG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.114,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30295,2FMK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.115,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US01668,3ZLDL02,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.116,Microsoft Windows 7 Professional x64,AEL,,2017-08-09 23:59:59,Expired,,,,,,
US07565,5JPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.117,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
ETX17998,9M3R9Z1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.118,Microsoft Windows 7 Professional x64,AEL,,2016-11-12 23:59:59,Expired,,,,,,
US07574,9QGMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.119,Microsoft Windows 7 Professional x64,AEL,,2018-06-19 23:59:59,Active,,,,,,
US30739,B8WG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.120,Microsoft Windows 7 Professional x64,AEL,,2018-12-28 23:59:59,Active,,,,,,
ETX18000,CT43CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.121,Microsoft Windows 7 Professional x64,AEL,,2017-01-20 23:59:59,Expired,,,,,,
ETX21849,1ZYDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.122,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US30294,2FYJ082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.123,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30301,B7HK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.124,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30149,B6LF082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.126,Microsoft Windows 7 Professional x64,AEL,,2018-12-30 23:59:59,Active,,,,,,
US30157,CD4G082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.127,Microsoft Windows 7 Professional x64,AEL,,2018-12-30 23:59:59,Active,,,,,,
US06024,7FCGXK2,Dell Inc.,OptiPlex 3050,Unassigned,desktop,10.3.7.128,Microsoft Windows 7 Professional x64,AEL,,2020-08-31 23:59:59,Active,,,,,,
US06007,7V9KV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.129,Microsoft Windows 7 Professional x64,AEL,,2018-08-19 23:59:59,Active,,,,,,
ETX21847,23MFCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.130,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
ETX21863,CSQ4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.132,Microsoft Windows 7 Professional x64,AEL,,2017-01-19 23:59:59,Expired,,,,,,
ETX21855,C0M4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.134,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
ETX21843,BYN2CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.135,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
ETX21851,C2S4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.136,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
