NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
Dell Precision T7400 Tower,precision,T7400,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T7500 Tower,precision,T7500,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T7600 Tower,precision,T7600,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T7810 Tower,precision,T7810,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T7910 Tower,precision,T7910,,,,,,,,,,,,,,,,,,,,,,,,,
HP D510 CMT,D510,CMT,CMT,,,,,,,,,,,,,,,,,,,,,,,,
HP D510 SFF,D510,SFF,,,,,,,,,,,,,,,,,,,,,,,,,
HP D530 CMT,D530,CMT,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7100 USDT,DC7100,USDT,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7600 CMT,DC7600,CMT,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7600 SFF,DC7600,SFF,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7600 SFF 2GB,DC7600,SFF,"2GB,2 GB",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7600 SFF P4,DC7600,SFF,P4,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7600 SFF PD820,DC7600,SFF,"PD 820,PD820,PD-820",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 CMT,DC7700,CMT,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 CMT ATI,DC7700,CMT,ATI,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 CMT DVD RW,DC7700,CMT,"DVD RW,DVD-RW,DVDRW",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 SFF,DC7700,SFF,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 SFF 1GB,DC7700,SFF,"1GB,1 GB",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 SFF 2GB,DC7700,SFF,"2GB,2 GB",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 SFF Celeron 420,DC7700,SFF,"CELERON 420,CELERON-420",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7700 SFF PD915,DC7700,SFF,"PD915,PD 915,PD-915",,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 CMT E6550,DC7800,CMT,E6550,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 SFF,DC7800,SFF,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 SFF Celeron 440,DC7800,SFF,440,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 SFF Core 2 Duo 4GB,DC7800,SFF,"CORE2,CORE 2",DUO,"4GB,4 GB",,,,,,,,,,,,,,,,,,,,,,
HP DC7800 SFF E4600,DC7800,SFF,E4600,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 SFF E6550,DC7800,SFF,E6550,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7800 USDT,DC7800,USDT,,,,,,,,,,,,,,,,,,,,,,,,,
